Ping results for subnet 192.168.1.0/29:
2025-05-26 13:32:06 - 192.168.1.1 is reachable
2025-05-26 13:32:06 - 192.168.1.2 is unreachable
2025-05-26 13:32:07 - 192.168.1.3 is unreachable
2025-05-26 13:32:08 - 192.168.1.4 is unreachable
2025-05-26 13:32:09 - 192.168.1.5 is unreachable
2025-05-26 13:32:10 - 192.168.1.6 is unreachable

Ping results for subnet 192.168.69.0/29:
2025-05-26 13:32:06 - 192.168.69.1 is unreachable
2025-05-26 13:32:07 - 192.168.69.2 is unreachable
2025-05-26 13:32:08 - 192.168.69.3 is unreachable
2025-05-26 13:32:09 - 192.168.69.4 is unreachable
2025-05-26 13:32:10 - 192.168.69.5 is unreachable
2025-05-26 13:32:11 - 192.168.69.6 is unreachable

Ping results for subnet 192.168.60.0/29:
2025-05-26 13:32:06 - 192.168.60.1 is unreachable
2025-05-26 13:32:07 - 192.168.60.2 is unreachable
2025-05-26 13:32:08 - 192.168.60.3 is unreachable
2025-05-26 13:32:09 - 192.168.60.4 is unreachable
2025-05-26 13:32:10 - 192.168.60.5 is unreachable
2025-05-26 13:32:11 - 192.168.60.6 is unreachable

